mua_ex[1/cm]    mus_ex[1/cm]    mua_em[1/cm]    mus_em[1/cm]    PHD_Int[1/cm2]
1.0000E+00      1.0000E+00      3.3598E+01      1.6681E+01      1.6542E+01
1.0000E+00      1.0000E+00      3.3598E+01      4.6416E+01      1.5662E+01
1.0000E+00      1.0000E+00      3.3598E+01      1.2915E+02      1.4252E+01
1.0000E+00      1.0000E+00      3.3598E+01      3.5938E+02      1.2525E+01
1.0000E+00      1.0000E+00      3.3598E+01      1.0000E+03      1.0171E+01
1.0000E+00      1.0000E+00      5.4556E+01      1.0000E-01      6.3258E+00
1.0000E+00      1.0000E+00      5.4556E+01      2.7826E-01      6.3066E+00
1.0000E+00      1.0000E+00      5.4556E+01      7.7426E-01      8.4853E+00
1.0000E+00      1.0000E+00      5.4556E+01      2.1544E+00      8.2231E+00
1.0000E+00      1.0000E+00      5.4556E+01      5.9948E+00      9.3775E+00
1.0000E+00      1.0000E+00      5.4556E+01      1.6681E+01      1.0392E+01
1.0000E+00      1.0000E+00      5.4556E+01      4.6416E+01      1.0262E+01
1.0000E+00      1.0000E+00      5.4556E+01      1.2915E+02      9.7409E+00
1.0000E+00      1.0000E+00      5.4556E+01      3.5938E+02      8.7979E+00
1.0000E+00      1.0000E+00      5.4556E+01      1.0000E+03      6.9384E+00
1.0000E+00      1.0000E+00      8.8587E+01      1.0000E-01      1.9706E+00
1.0000E+00      1.0000E+00      8.8587E+01      2.7826E-01      1.9622E+00
1.0000E+00      1.0000E+00      8.8587E+01      7.7426E-01      1.9407E+00
1.0000E+00      1.0000E+00      8.8587E+01      2.1544E+00      3.2959E+00
1.0000E+00      1.0000E+00      8.8587E+01      5.9948E+00      4.3654E+00
1.0000E+00      1.0000E+00      8.8587E+01      1.6681E+01      4.9593E+00
1.0000E+00      1.0000E+00      8.8587E+01      4.6416E+01      6.1218E+00
1.0000E+00      1.0000E+00      8.8587E+01      1.2915E+02      6.2107E+00
1.0000E+00      1.0000E+00      8.8587E+01      3.5938E+02      5.7438E+00
1.0000E+00      1.0000E+00      8.8587E+01      1.0000E+03      4.3870E+00
1.0000E+00      1.0000E+00      1.4384E+02      1.0000E-01      2.8382E-01
1.0000E+00      1.0000E+00      1.4384E+02      2.7826E-01      2.8290E-01
1.0000E+00      1.0000E+00      1.4384E+02      7.7426E-01      2.7925E-01
1.0000E+00      1.0000E+00      1.4384E+02      2.1544E+00      7.0081E-01
1.0000E+00      1.0000E+00      1.4384E+02      5.9948E+00      6.4043E-01
1.0000E+00      1.0000E+00      1.4384E+02      1.6681E+01      1.6696E+00
1.0000E+00      1.0000E+00      1.4384E+02      4.6416E+01      2.2589E+00
1.0000E+00      1.0000E+00      1.4384E+02      1.2915E+02      3.1457E+00
1.0000E+00      1.0000E+00      1.4384E+02      3.5938E+02      3.1878E+00
1.0000E+00      1.0000E+00      1.4384E+02      1.0000E+03      2.1929E+00
1.0000E+00      1.0000E+00      2.3357E+02      1.0000E-01      1.4518E-02
1.0000E+00      1.0000E+00      2.3357E+02      2.7826E-01      1.4535E-02
1.0000E+00      1.0000E+00      2.3357E+02      7.7426E-01      1.4386E-02
1.0000E+00      1.0000E+00      2.3357E+02      2.1544E+00      1.3864E-02
1.0000E+00      1.0000E+00      2.3357E+02      5.9948E+00      4.1709E-02
1.0000E+00      1.0000E+00      2.3357E+02      1.6681E+01      9.2402E-02
1.0000E+00      1.0000E+00      2.3357E+02      4.6416E+01      2.5533E-01
1.0000E+00      1.0000E+00      2.3357E+02      1.2915E+02      4.0687E-01
1.0000E+00      1.0000E+00      2.3357E+02      3.5938E+02      7.5768E-01
1.0000E+00      1.0000E+00      2.3357E+02      1.0000E+03      5.3972E-01
1.0000E+00      1.0000E+00      3.7927E+02      1.0000E-01      1.9381E-04
1.0000E+00      1.0000E+00      3.7927E+02      2.7826E-01      1.9309E-04
1.0000E+00      1.0000E+00      3.7927E+02      7.7426E-01      1.9509E-04
1.0000E+00      1.0000E+00      3.7927E+02      2.1544E+00      1.9082E-04
1.0000E+00      1.0000E+00      3.7927E+02      5.9948E+00      7.7353E-04
1.0000E+00      1.0000E+00      3.7927E+02      1.6681E+01      6.0411E-04
1.0000E+00      1.0000E+00      3.7927E+02      4.6416E+01      3.6075E-03
1.0000E+00      1.0000E+00      3.7927E+02      1.2915E+02      6.3696E-03
1.0000E+00      1.0000E+00      3.7927E+02      3.5938E+02      1.4627E-02
1.0000E+00      1.0000E+00      3.7927E+02      1.0000E+03      1.7311E-02
1.0000E+00      1.0000E+00      6.1585E+02      1.0000E-01      2.2236E-07
1.0000E+00      1.0000E+00      6.1585E+02      2.7826E-01      3.2811E-07
1.0000E+00      1.0000E+00      6.1585E+02      7.7426E-01      3.2275E-07
1.0000E+00      1.0000E+00      6.1585E+02      2.1544E+00      3.4114E-07
1.0000E+00      1.0000E+00      6.1585E+02      5.9948E+00      2.9803E-07
1.0000E+00      1.0000E+00      6.1585E+02      1.6681E+01      1.8152E-06
1.0000E+00      1.0000E+00      6.1585E+02      4.6416E+01      5.3764E-06
1.0000E+00      1.0000E+00      6.1585E+02      1.2915E+02      1.9806E-05
1.0000E+00      1.0000E+00      6.1585E+02      3.5938E+02      5.2543E-05
1.0000E+00      1.0000E+00      6.1585E+02      1.0000E+03      4.1239E-05
1.0000E+00      1.0000E+00      1.0000E+03      1.0000E-01      0.0000E+00
1.0000E+00      1.0000E+00      1.0000E+03      2.7826E-01      0.0000E+00
1.0000E+00      1.0000E+00      1.0000E+03      7.7426E-01      0.0000E+00
1.0000E+00      1.0000E+00      1.0000E+03      2.1544E+00      0.0000E+00
1.0000E+00      1.0000E+00      1.0000E+03      5.9948E+00      0.0000E+00
1.0000E+00      1.0000E+00      1.0000E+03      1.6681E+01      2.2314E-10
1.0000E+00      1.0000E+00      1.0000E+03      4.6416E+01      3.6363E-10
1.0000E+00      1.0000E+00      1.0000E+03      1.2915E+02      3.8709E-09
1.0000E+00      1.0000E+00      1.0000E+03      3.5938E+02      6.2957E-09
1.0000E+00      1.0000E+00      1.0000E+03      1.0000E+03      2.5767E-09
1.0000E+00      2.5763E+00      1.0000E-01      1.0000E-01      4.4425E+02
1.0000E+00      2.5763E+00      1.0000E-01      2.7826E-01      3.1301E+02
1.0000E+00      2.5763E+00      1.0000E-01      7.7426E-01      2.2513E+02
1.0000E+00      2.5763E+00      1.0000E-01      2.1544E+00      1.7170E+02
